Drug1	Drug2
DB00572	DB01184
DB00572	DB00427
DB00572	DB00340
DB00572	DB00761
DB00572	DB00042
DB00572	DB00989
DB00572	DB05271
DB00040	DB00278
DB00040	DB01240
DB00040	DB00945
DB00040	DB00335
DB00040	DB01136
DB00040	DB00975
DB00040	DB01203
DB00040	DB00960
DB00040	DB00758
DB00040	DB00569
DB00040	DB01166
DB00040	DB01193
DB00040	DB00612
DB00040	DB00264
DB00040	DB01214
DB00040	DB00009
DB00040	DB00047
DB00040	DB00266
DB00040	DB01306
DB00040	DB00046
DB00040	DB01307
DB00040	DB01309
DB00040	DB04861
DB00040	DB01297
DB00040	DB06209
DB00040	DB00031
DB00040	DB01418
DB00040	DB06695
DB00040	DB08807
DB00040	DB08808
DB00040	DB08816
DB00788	DB00278
DB00788	DB01116
DB00788	DB00325
DB00788	DB01412
DB00788	DB00657
DB00788	DB00365
DB00788	DB04840
DB00788	DB01240
DB00788	DB00945
DB00788	DB00554
DB00788	DB00563
DB00788	DB00091
DB00788	DB00537
DB00788	DB00206
DB00788	DB01059
DB00788	DB00414
DB00788	DB00335
DB00788	DB00887
DB00788	DB01197
DB00788	DB01136
DB00788	DB00672
DB00788	DB00310
DB00788	DB00575
DB00788	DB01119
DB00788	DB00390
DB00788	DB00975
DB00788	DB00450
DB00788	DB00467
DB00788	DB00903
DB00788	DB00695
DB00788	DB01067
DB00788	DB01016
DB00788	DB00999
DB00788	DB00808
DB00788	DB00722
DB00788	DB00532
DB00788	DB00839
DB00788	DB01124
DB00788	DB00214
DB00788	DB00519
DB00788	DB00384
DB00788	DB00177
DB00788	DB00959
DB00788	DB00495
DB00788	DB00350
DB00788	DB00178
DB00788	DB00524
DB00788	DB01203
DB00788	DB00421
DB00788	DB01165
DB00788	DB01325
DB00788	DB01032
DB00788	DB00652
DB00788	DB00252
DB00788	DB00960
DB00788	DB00727
DB00788	DB00880
DB00788	DB01029
DB00788	DB01351
DB00788	DB01208
DB00788	DB00222
DB00788	DB00912
DB00788	DB00492
DB00788	DB00796
DB00788	DB00966
DB00788	DB00774
DB00788	DB00232
DB00788	DB01324
DB00788	DB01021
DB00788	DB00843
DB00788	DB00754
DB00788	DB01097
DB00788	DB00765
DB00788	DB00758
DB00788	DB00814
DB00788	DB00731
DB00788	DB00700
DB00788	DB00476
DB00788	DB00559
DB00788	DB00872
DB00788	DB01078
DB00788	DB00606
DB00788	DB01563
DB00788	DB01120
DB00788	DB00217
DB00788	DB02925
DB00788	DB04576
DB00788	DB00569
DB00788	DB01252
DB00788	DB01166
DB00788	DB00761
DB00788	DB01170
DB00788	DB00487
DB00788	DB00978
DB00788	DB01193
DB00788	DB00612
DB00788	DB00264
DB00788	DB01214
DB00788	DB04831
DB00788	DB01251
DB00788	DB01405
DB00788	DB01155
DB00788	DB00009
DB00788	DB01609
DB00788	DB00881
DB00788	DB00790
DB00788	DB00266
DB00788	DB04861
DB00788	DB01297
DB00788	DB06209
DB00788	DB00031
DB00788	DB01418
DB00788	DB06695
DB00788	DB06268
DB00788	DB08807
DB00788	DB08808
DB00788	DB00968
DB00788	DB08816
DB00605	DB00945
DB00605	DB00554
DB00605	DB00563
DB00605	DB00091
DB00605	DB00284
